sector_ejecutivo,registros,porcentaje
Comercio,35210,19.01
Servicios de apoyo empresarial,34246,18.49
Servicios profesionales,11961,6.46
Educación,11851,6.4
Transporte y logística,11055,5.97
Hotelería y restaurantes,10546,5.69
Sector público,9503,5.13
Construcción,9100,4.91
Manufactura,8958,4.84
Financiero y seguros,8758,4.73
Tecnología y comunicaciones,8589,4.64
Salud,6879,3.71
Otros servicios,6760,3.65
Inmobiliario,4033,2.18
Agropecuario y pesca,2851,1.54
Entretenimiento y recreación,2044,1.1
Energía y servicios públicos,1638,0.88
Organismos internacionales,833,0.45
Minería,415,0.22
